Unnamed: 0,Axis1,Axis2,Axis3,Steps,HR,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude,day,time,timestamp,bpm
221,95,124,31,1,126.0,0,1,0,0,159.25,1,10:06:41,2023-01-01 10:06:41,84.74576271186442
222,49,40,16,0,109.0,0,1,0,0,65.25,1,10:06:42,2023-01-01 10:06:42,84.03361344537815
223,44,27,20,0,106.0,0,1,0,0,55.36,1,10:06:43,2023-01-01 10:06:43,89.28571428571428
224,8,2,11,1,101.0,0,1,0,0,13.75,1,10:06:44,2023-01-01 10:06:44,88.88888888888889
225,16,29,16,1,99.0,0,1,0,0,36.78,1,10:06:45,2023-01-01 10:06:45,86.83068017366136
226,18,55,32,0,97.0,0,1,0,0,66.13,1,10:06:46,2023-01-01 10:06:46,87.3362445414847
227,43,24,40,1,96.0,0,1,0,0,63.44,1,10:06:47,2023-01-01 10:06:47,233.46303501945525
228,129,131,99,1,95.0,0,1,0,0,208.81,1,10:06:48,2023-01-01 10:06:48,191.69329073482427
229,180,140,123,1,100.0,0,1,0,0,259.09,1,10:06:49,2023-01-01 10:06:49,147.62007072052273
230,40,160,149,1,106.0,0,1,0,0,222.26,1,10:06:50,2023-01-01 10:06:50,103.54685070622118
231,53,66,198,0,106.0,0,1,0,0,215.33,1,10:06:51,2023-01-01 10:06:51,59.47363069191963
232,71,110,107,1,106.0,0,1,0,0,169.09,1,10:06:52,2023-01-01 10:06:52,15.400410677618071
233,41,48,130,0,106.0,0,1,0,0,144.52,1,10:06:53,2023-01-01 10:06:53,78.94736842105263
234,93,200,35,1,106.0,0,1,0,0,223.32,1,10:06:54,2023-01-01 10:06:54,72.37635705669481
235,73,139,34,0,106.0,0,1,0,0,160.64,1,10:06:55,2023-01-01 10:06:55,73.80073800738008
236,16,2,5,0,106.0,0,1,0,0,16.88,1,10:06:56,2023-01-01 10:06:56,73.83490501571683
237,12,9,4,0,99.0,0,1,0,0,15.52,1,10:06:57,2023-01-01 10:06:57,73.86907202405358
244,0,0,0,0,82.0,1,0,0,0,0.0,1,10:07:04,2023-01-01 10:07:04,73.43941248470013
245,0,0,0,0,81.0,1,0,0,0,0.0,1,10:07:05,2023-01-01 10:07:05,76.82458386683739
246,0,0,0,0,80.0,1,0,0,0,0.0,1,10:07:06,2023-01-01 10:07:06,71.68458781362007
247,0,0,0,0,79.0,1,0,0,0,0.0,1,10:07:07,2023-01-01 10:07:07,72.28915662650603
248,0,0,0,0,78.0,1,0,0,0,0.0,1,10:07:08,2023-01-01 10:07:08,74.25742574257426
249,0,0,0,0,77.0,1,0,0,0,0.0,1,10:07:09,2023-01-01 10:07:09,82.64462809917356
250,0,0,0,0,77.0,1,0,0,0,0.0,1,10:07:10,2023-01-01 10:07:10,72.46376811594203
251,0,0,0,0,78.0,1,0,0,0,0.0,1,10:07:11,2023-01-01 10:07:11,67.34006734006734
252,0,7,0,0,77.0,1,0,0,0,7.0,1,10:07:12,2023-01-01 10:07:12,66.29834254143647
253,0,0,0,0,76.0,1,0,0,0,0.0,1,10:07:13,2023-01-01 10:07:13,71.77033492822967
254,19,41,0,1,75.0,0,1,0,0,45.19,1,10:07:14,2023-01-01 10:07:14,70.09345794392523
255,15,11,0,0,74.0,0,1,0,0,18.6,1,10:07:15,2023-01-01 10:07:15,70.83825265643448
256,0,10,0,0,73.0,1,0,0,0,10.0,1,10:07:16,2023-01-01 10:07:16,71.77033492822967
257,0,4,0,0,73.0,1,0,0,0,4.0,1,10:07:17,2023-01-01 10:07:17,69.28406466512702
258,0,0,0,0,73.0,1,0,0,0,0.0,1,10:07:18,2023-01-01 10:07:18,67.72009029345372
259,124,9,111,0,72.0,0,1,0,0,166.67,1,10:07:19,2023-01-01 10:07:19,72.20216606498195
260,63,0,69,1,72.0,0,1,0,0,93.43,1,10:07:20,2023-01-01 10:07:20,68.3371298405467
261,58,0,67,0,72.0,0,1,0,0,88.62,1,10:07:21,2023-01-01 10:07:21,80.4289544235925
262,82,0,40,0,72.0,0,1,0,0,91.24,1,10:07:22,2023-01-01 10:07:22,70.2576112412178
263,37,0,30,0,73.0,0,1,0,0,47.63,1,10:07:23,2023-01-01 10:07:23,66.44518272425249
264,0,0,18,0,72.0,1,0,0,0,18.0,1,10:07:24,2023-01-01 10:07:24,66.3716814159292
265,35,12,13,0,72.0,0,1,0,0,39.22,1,10:07:25,2023-01-01 10:07:25,75.0
266,0,0,0,0,71.0,1,0,0,0,0.0,1,10:07:26,2023-01-01 10:07:26,73.71007371007371
267,0,0,0,0,72.0,1,0,0,0,0.0,1,10:07:27,2023-01-01 10:07:27,76.62835249042145
268,0,0,0,0,72.0,1,0,0,0,0.0,1,10:07:28,2023-01-01 10:07:28,70.83825265643448
269,0,0,0,0,73.0,1,0,0,0,0.0,1,10:07:29,2023-01-01 10:07:29,69.89486347944346
270,0,0,0,0,72.0,1,0,0,0,0.0,1,10:07:30,2023-01-01 10:07:30,68.95147430245244
277,0,0,0,0,69.0,0,0,1,0,0.0,1,10:07:37,2023-01-01 10:07:37,62.04756980351603
278,0,0,0,0,69.0,0,0,1,0,0.0,1,10:07:38,2023-01-01 10:07:38,65.21739130434783
279,0,0,0,0,68.0,0,0,1,0,0.0,1,10:07:39,2023-01-01 10:07:39,66.59267480577137
280,0,0,0,0,67.0,0,0,1,0,0.0,1,10:07:40,2023-01-01 10:07:40,60.120240480961925
281,0,0,0,0,67.0,0,0,1,0,0.0,1,10:07:41,2023-01-01 10:07:41,63.357972544878564
282,0,0,0,0,66.0,0,0,1,0,0.0,1,10:07:42,2023-01-01 10:07:42,60.120240480961925
283,0,0,0,0,66.0,0,0,1,0,0.0,1,10:07:43,2023-01-01 10:07:43,58.65102639296188
284,0,0,0,0,65.0,0,0,1,0,0.0,1,10:07:44,2023-01-01 10:07:44,57.915057915057915
285,0,0,0,0,64.0,0,0,1,0,0.0,1,10:07:45,2023-01-01 10:07:45,61.98347107438017
286,0,0,0,0,63.0,0,0,1,0,0.0,1,10:07:46,2023-01-01 10:07:46,60.42296072507553
287,0,0,0,0,63.0,0,0,1,0,0.0,1,10:07:47,2023-01-01 10:07:47,61.34969325153374
288,70,90,92,0,63.0,0,1,0,0,146.51,1,10:07:48,2023-01-01 10:07:48,66.88963210702342
289,3,39,68,1,63.0,0,0,0,1,78.45,1,10:07:49,2023-01-01 10:07:49,62.89308176100629
290,20,62,59,0,63.0,0,1,0,0,87.89,1,10:07:50,2023-01-01 10:07:50,61.34969325153374
291,41,166,69,1,63.0,0,1,0,0,184.39,1,10:07:51,2023-01-01 10:07:51,67.79661016949153
292,1,105,10,0,63.0,1,0,0,0,105.48,1,10:07:52,2023-01-01 10:07:52,64.93506493506493
293,101,135,138,0,63.0,0,1,0,0,217.88,1,10:07:53,2023-01-01 10:07:53,75.09386733416771
294,22,5,47,1,64.0,0,1,0,0,52.13,1,10:07:54,2023-01-01 10:07:54,74.44168734491315
295,16,0,32,0,65.0,0,1,0,0,35.78,1,10:07:55,2023-01-01 10:07:55,70.4225352112676
296,0,0,6,0,66.0,0,0,1,0,6.0,1,10:07:56,2023-01-01 10:07:56,82.19178082191782
297,0,0,0,0,68.0,0,0,1,0,0.0,1,10:07:57,2023-01-01 10:07:57,81.08108108108108
298,0,0,0,0,70.0,0,0,1,0,0.0,1,10:07:58,2023-01-01 10:07:58,71.94244604316548
299,0,0,0,0,71.0,0,1,0,0,0.0,1,10:07:59,2023-01-01 10:07:59,69.52491309385863
300,0,0,0,0,71.0,0,1,0,0,0.0,1,10:08:00,2023-01-01 10:08:00,65.71741511500548
301,0,0,0,0,71.0,0,1,0,0,0.0,1,10:08:01,2023-01-01 10:08:01,63.09148264984228
302,0,0,0,0,70.0,0,1,0,0,0.0,1,10:08:02,2023-01-01 10:08:02,62.7961404360209
303,0,0,0,0,69.0,0,1,0,0,0.0,1,10:08:03,2023-01-01 10:08:03,62.50079822219952
310,130,227,14,0,65.0,0,1,0,0,261.96,1,10:08:10,2023-01-01 10:08:10,55.71030640668524
311,38,72,50,1,65.0,0,1,0,0,95.54,1,10:08:11,2023-01-01 10:08:11,59.880239520958085
312,0,68,0,0,64.0,0,0,1,0,68.0,1,10:08:12,2023-01-01 10:08:12,65.64551422319475
313,0,10,0,0,63.0,0,0,1,0,10.0,1,10:08:13,2023-01-01 10:08:13,56.550424128180964
314,0,0,0,0,64.0,0,0,1,0,0.0,1,10:08:14,2023-01-01 10:08:14,66.07929515418502
315,0,0,0,0,63.0,0,0,1,0,0.0,1,10:08:15,2023-01-01 10:08:15,53.42831700801425
316,0,0,0,0,63.0,0,0,1,0,0.0,1,10:08:16,2023-01-01 10:08:16,54.005400540054005
317,0,0,0,0,62.0,0,0,1,0,0.0,1,10:08:17,2023-01-01 10:08:17,64.6551724137931
318,0,0,0,0,61.0,0,0,1,0,0.0,1,10:08:18,2023-01-01 10:08:18,60.301507537688444
319,0,0,0,0,61.0,0,0,1,0,0.0,1,10:08:19,2023-01-01 10:08:19,69.12442396313364
320,0,0,0,0,61.0,0,0,1,0,0.0,1,10:08:20,2023-01-01 10:08:20,75.09386733416771
321,0,0,0,0,62.0,0,0,1,0,0.0,1,10:08:21,2023-01-01 10:08:21,58.13953488372093
